Date,Open,High,Low,Close,Volume,Daily_Return,MA50,MA200,Volatility
2009-03-20,306.35,321.9,306.35,314.3,146542,0.5277466815928555,352.121,442.5215,4.621008209765365
2009-03-23,315.0,325.9,315.0,322.15,178441,2.497613744829774,350.756,439.767,3.8568356055963893
2009-03-24,325.0,331.0,313.0,314.3,208205,-2.436753065342223,349.13800000000003,437.13349999999997,3.8618025628342427
2009-03-25,315.0,325.95,314.0,324.2,121996,3.1498568246897785,348.58099999999996,434.5802499999999,3.5808974853757505
2009-03-26,325.0,332.75,317.65,321.6,166172,-0.8019740900678474,348.25300000000004,432.23625,3.53837868651923
2009-03-27,290.0,326.85,290.0,308.15,9242138,-4.1822139303482775,347.01899999999995,429.948,3.3117628545254973
2009-03-30,321.0,326.5,303.1,318.1,721088,3.2289469414246375,346.38599999999997,427.8415,3.264528413574107
2009-03-31,319.1,328.0,318.25,323.3,383009,1.6347060672744274,345.157,425.94700000000006,2.9312545068281617
2009-04-01,323.3,346.75,323.3,340.8,1887718,5.41292916795546,344.51099999999997,424.36325000000005,3.013166812829999
2009-04-02,349.9,355.0,342.25,347.25,1277486,1.892605633802824,343.94699999999995,422.9015,3.0249890497526835
2009-04-06,355.0,391.05,350.1,385.15,1576171,10.914326853851675,344.39599999999996,421.76425,3.365652375161109
2009-04-08,373.4,373.4,358.6,365.65,711559,-5.062962482149813,344.20799999999997,420.64625,3.412531437418191
2009-04-09,374.4,388.9,370.1,378.3,929375,3.4595925064953015,344.64300000000003,419.50225,3.3708126118960133
2009-04-13,385.0,389.9,375.35,380.1,287618,0.4758128469468659,344.86300000000006,418.43525,3.336455402352287
2009-04-15,375.0,408.95,368.05,399.7,1083383,5.156537753222823,345.579,417.43225,3.4038648841690806
2009-04-16,385.3,415.15,370.25,380.2,610744,-4.878658994245688,345.66900000000004,416.22875,3.4512895234665018
2009-04-17,385.0,403.0,374.0,377.0,507751,-0.8416622830089371,345.31800000000004,414.96074999999996,3.3789944542084855
2009-04-20,379.0,389.0,376.0,378.8,262049,0.4774535809018543,345.265,413.71025000000003,3.3461790749214453
2009-04-21,373.0,383.4,370.0,379.6,237316,0.21119324181626542,345.134,412.3625,3.3418701446925247
2009-04-22,382.45,400.0,381.25,386.8,624545,1.8967334035827177,345.078,411.17524999999995,3.3502239520702357
2009-04-23,394.7,401.9,375.0,391.55,480133,1.2280248190279286,345.297,410.27775,3.3369133911898197
2009-04-24,392.2,419.7,391.0,403.5,1213967,3.051972928106239,345.99600000000004,409.45174999999995,3.328157476686815
2009-04-27,402.65,411.9,387.5,389.7,536960,-3.4200743494423813,346.43199999999996,408.65174999999994,3.3677201971368578
2009-04-28,392.0,395.3,365.55,369.5,259933,-5.183474467539129,346.318,407.85699999999997,3.4406902979152902
2009-04-29,375.0,392.1,373.5,388.75,347406,5.209742895805136,346.383,407.32075,3.4976101868233536
2009-05-04,392.0,408.9,391.35,405.3,469343,4.257234726688108,346.96,406.8765,3.5287884936248997
2009-05-05,402.0,427.8,402.0,410.55,634433,1.2953367875647714,347.73900000000003,406.5385,3.525341313261493
2009-05-06,413.8,422.1,396.2,401.35,318429,-2.2408963585434094,348.41799999999995,406.13875,3.5377566208079823
2009-05-07,401.0,414.5,401.0,411.95,280135,2.64108633362401,349.291,405.98175000000003,3.5540484122506637
2009-05-08,408.0,428.4,406.25,413.2,514518,0.3034348828741429,350.384,405.79575,3.528761955463702
2009-05-11,417.0,423.0,398.0,403.45,310581,-2.359632139399803,351.534,405.47625,3.5067050146103442
2009-05-12,405.0,412.25,391.2,408.15,480540,1.1649522865286865,353.014,405.21975000000003,3.4655470167534337
2009-05-13,401.3,451.6,401.3,438.6,1411669,7.460492466005153,354.74600000000004,404.656,3.5386439205838998
2009-05-14,401.0,467.0,362.25,461.95,1280322,5.32375740994071,356.96,404.12699999999995,3.6018905275086124
2009-05-15,464.2,485.5,464.2,471.75,966255,2.1214417144712616,359.471,403.75399999999996,3.5957126485445157
2009-05-18,499.9,566.0,499.9,523.35,12366,10.93799682034977,363.033,403.69625,3.8736425249214124
2009-05-19,600.0,600.0,451.25,528.75,947923,1.0318142734307756,366.70599999999996,403.9,3.8712378131071645
2009-05-20,537.9,570.7,527.0,536.5,1284823,1.4657210401891163,370.603,404.1915,3.8618562943216137
2009-05-21,532.0,576.2,532.0,559.1,1107113,4.2124883504193855,375.45799999999997,404.59325000000007,3.6929403019450313
2009-05-22,559.1,567.75,540.0,546.3,364758,-2.289393668395645,380.25199999999995,404.98774999999995,3.6757971667918987
2009-05-25,551.2,615.7,550.0,599.8,1491325,9.793153944719023,385.968,405.605,3.867571815506951
2009-05-26,607.4,626.85,571.25,576.25,922825,-3.926308769589859,391.27700000000004,405.904,3.9257056256599796
2009-05-27,591.1,598.0,583.35,589.7,256566,2.3340563991323338,396.875,406.08475,3.9210547766579738
2009-05-28,594.4,594.9,581.5,588.5,195573,-0.2034933016788254,402.68699999999995,406.10425,3.855603329354895
2009-05-29,591.0,649.0,591.0,611.2,944627,3.857264231096025,408.953,406.22125,3.864737954858386
2009-06-01,624.5,659.0,620.1,651.15,821523,6.536321989528782,415.742,406.53475,3.9052041107912587
2009-06-02,662.0,663.8,612.55,629.0,425551,-3.4016739614528113,422.07800000000003,406.90625,3.9632676671042177
2009-06-03,635.0,648.2,581.0,600.95,639042,-4.459459459459447,427.89,407.0915,4.041612252049039
2009-06-04,597.0,624.0,590.5,620.25,346049,3.2115816623679017,433.76300000000003,407.30275,4.012524112002091
2009-06-05,630.0,638.0,621.0,626.65,370690,1.031841999193861,440.04299999999995,407.55475000000007,3.929644597927793
2009-06-08,631.9,644.9,607.0,622.25,519603,-0.7021463336790879,446.202,407.74075000000005,3.939527669629669
2009-06-09,621.1,684.5,610.0,680.2,838443,9.31297709923664,453.36300000000006,408.20675000000006,4.091498008247649
2009-06-10,697.7,703.0,656.25,687.4,804013,1.0585122022934268,460.825,408.7605,4.051022647336014
2009-06-11,687.4,689.7,655.0,674.8,285059,-1.8329938900203735,467.83700000000005,409.26574999999997,4.074742789063811
2009-06-12,676.0,705.0,655.1,665.6,516520,-1.3633669235328938,474.717,409.68600000000004,4.082140311655123
2009-06-15,663.5,669.0,627.0,630.3,434156,-5.303485576923084,481.16,409.8825,4.117175076593658
2009-06-16,616.0,645.0,614.0,633.55,330434,0.5156274789782644,487.469,409.91775,4.112104550965341
2009-06-17,647.0,660.0,610.0,613.75,535106,-3.125246626154199,493.278,409.91275,4.162959589014818
2009-06-18,620.0,635.0,607.0,617.7,573708,0.6435845213849323,498.816,410.13975,4.122955188670102
2009-06-19,623.95,634.85,611.1,619.2,595097,0.24283632831472168,504.255,410.367,4.124535662587057
2009-06-22,624.9,624.9,610.05,617.85,457676,-0.21802325581395943,508.909,410.61175,3.8854501866279922
